"fips","state","densityMi","pop2022","pop2021","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","PercentHighSchoolOrHigher","PercentBachelorsOrHigher"
"30","Montana","7.57964",1103187,1093706,1084225,1074744,989415,"0.00867",9481,"0.11499",94,33.1
"56","Wyoming","5.96845",579495,578173,576851,575524,563626,"0.00229",1322,"0.02816",93.6,28.2
"50","Vermont","70.14701",646545,644811,643077,641347,625741,"0.00269",1734,"0.03325",93.5,39.7
"27","Minnesota","72.67645",5787008,5746751,5706494,5666238,5303925,"0.00701",40257,"0.09108",93.4,36.8
"33","New Hampshire","155.22629",1389741,1383635,1377529,1371424,1316470,"0.00441",6106,"0.05566",93.3,37.6
"23","Maine","44.39124",1369159,1365759,1362359,1358961,1328361,"0.00249",3400,"0.03071",93.2,32.5
"2","Alaska","1.29332",738023,735707,733391,731075,710231,"0.00315",2316,"0.03913",93.1,30
"38","North Dakota","11.59974",800394,789744,779094,768441,672591,"0.01349",10650,"0.19002",93.1,30.7
"49","Utah","41.05102",3373162,3322389,3271616,3220842,2763885,"0.01528",50773,"0.22044",93,34.7
"55","Wisconsin","109.58795",5935064,5914391,5893718,5873043,5686986,"0.00350",20673,"0.04362",92.6,30.8
"15","Hawaii","229.52904",1474265,1464768,1455271,1445774,1360301,"0.00648",9497,"0.08378",92.5,33.6
"19","Iowa","57.63236",3219171,3204770,3190369,3175964,3046355,"0.00449",14401,"0.05673",92.5,29.3
"46","South Dakota","11.88700",901165,893916,886667,879421,814180,"0.00811",7249,"0.10684",92.2,29.3
"8","Colorado","57.14496",5922618,5848166,5773714,5699264,5029196,"0.01273",74452,"0.17765",92.1,41.6
"11","District of Columbia","11591.95082",707109,698327,689545,680761,601723,"0.01258",8782,"0.17514",91.9,59.8
"53","Washington","118.89715",7901429,7803355,7705281,7607206,6724540,"0.01257",98074,"0.17501",91.7,36.7
"31","Nebraska","25.88431",1988536,1975020,1961504,1947985,1826341,"0.00684",13516,"0.08881",91.6,32.5
"20","Kansas","36.14076",2954832,2946356,2937880,2929402,2853118,"0.00288",8476,"0.03565",91.4,33.9
"16","Idaho","22.91071",1893410,1866258,1839106,1811950,1567582,"0.01455",27152,"0.20785",91.3,28.7
"26","Michigan","178.92197",10116069,10096700,10077331,10057961,9883640,"0.00192",19369,"0.02352",91.3,30
"25","Massachusetts","913.63782",7126375,7078146,7029917,6981690,6547629,"0.00681",48229,"0.08839",91.1,44.5
"41","Oregon","44.98992",4318492,4277874,4237256,4196636,3831074,"0.00949",40618,"0.12723",91.1,34.4
"42","Pennsylvania","291.95101",13062764,13032732,13002700,12972667,12702379,"0.00230",30032,"0.02837",91,32.3
"9","Connecticut","746.03759",3612314,3609129,3605944,3602762,3574097,"0.00088",3185,"0.01069",90.9,40
"39","Ohio","290.05741",11852036,11825742,11799448,11773150,11536504,"0.00222",26294,"0.02735",90.8,28.9
"10","Delaware","517.36788",1008350,999149,989948,980743,897934,"0.00921",9201,"0.12297",90.6,32.7
"24","Maryland","644.68507",6257958,6217591,6177224,6136855,5773552,"0.00649",40367,"0.08390",90.6,40.9
"29","Missouri","90.01936",6188111,6171512,6154913,6138318,5988927,"0.00269",16599,"0.03326",90.6,29.9
"34","New Jersey","1276.64047",9388414,9338704,9288994,9239284,8791894,"0.00532",49710,"0.06785",90.3,40.7
"51","Virginia","221.76417",8757467,8694430,8631393,8568357,8001024,"0.00725",63037,"0.09454",90.3,39.5
"17","Illinois","230.71172",12808884,12810696,12812508,12814324,12830632,"-0.00014",-1812,"-0.00170",89.7,35.5
"18","Indiana","191.08675",6845874,6815701,6785528,6755359,6483802,"0.00443",30173,"0.05584",89.3,27.2
"44","Rhode Island","1069.96228",1106341,1101860,1097379,1092896,1052567,"0.00407",4481,"0.05109",89.2,35
"40","Oklahoma","58.32718",4000953,3980153,3959353,3938551,3751351,"0.00523",20800,"0.06654",88.6,26.1
"12","Florida","411.85199",22085563,21811875,21538187,21264502,18801310,"0.01255",273688,"0.17468",88.5,30.5
"37","North Carolina","218.44107",10620168,10529778,10439388,10348993,9535483,"0.00858",90390,"0.11375",88.5,32
"45","South Carolina","173.54835",5217037,5167731,5118425,5069118,4625364,"0.00954",49306,"0.12792",88.3,29
"47","Tennessee","170.33559",7023788,6967314,6910840,6854371,6346105,"0.00811",56474,"0.10679",88.2,28.2
"4","Arizona","64.29387",7303398,7227450,7151502,7075549,6392017,"0.01051",75948,"0.14258",87.9,30.3
"13","Georgia","189.81378",10916760,10814334,10711908,10609487,9687653,"0.00947",102426,"0.12687",87.9,32.2
"54","West Virginia","74.12680",1781860,1787788,1793716,1799642,1852994,"-0.00332",-5928,"-0.03839",87.6,21.3
"5","Arkansas","58.24245",3030646,3021085,3011524,3001967,2915918,"0.00316",9561,"0.03935",87.2,23.8
"21","Kentucky","114.95543",4539130,4522483,4505836,4489190,4339367,"0.00368",16647,"0.04604",87.2,25
"36","New York","432.15802",20365879,20283564,20201249,20118937,19378102,"0.00406",82315,"0.05097",87.2,37.5
"1","Alabama","100.17153",5073187,5048733,5024279,4999822,4779736,"0.00484",24454,"0.06139",86.9,26.2
"32","Nevada","29.01619",3185426,3145020,3104614,3064205,2700551,"0.01285",40406,"0.17955",86.9,25.5
"35","New Mexico","17.55338",2129190,2123356,2117522,2111685,2059179,"0.00275",5834,"0.03400",86.5,28.1
"22","Louisiana","108.38425",4682633,4670195,4657757,4645314,4533372,"0.00266",12438,"0.03292",85.9,24.9
"28","Mississippi","63.08367",2960075,2960677,2961279,2961879,2967297,"-0.00020",-602,"-0.00243",85.3,22.8
"48","Texas","114.63179",29945493,29545499,29145505,28745507,25145561,"0.01354",399994,"0.19089",84.4,30.7
"6","California","256.74242",39995077,39766650,39538223,39309799,37253956,"0.00574",228427,"0.07358",83.9,34.7